id_diagnozy,nazwa,opis
752,Borelioza,Stosować leki zgodnie z zaleceniami.
753,Alergia sezonowa,Konieczność obserwacji w warunkach domowych.
754,Borelioza,"Ryzyko nawrotu choroby, zachować ostrożność."
755,Nowotwór piersi,Wymaga dalszej diagnostyki.
756,Borelioza,Leczenie szpitalne nie jest wymagane.
757,Choroba wieńcowa,Wymaga dalszej diagnostyki.
758,Zapalenie płuc,Wskazane badania kontrolne za 2 tygodnie.
759,Angina,Leczenie szpitalne nie jest wymagane.
760,Reumatoidalne zapalenie stawów,Wymaga dalszej diagnostyki.
761,Depresja,"Ryzyko nawrotu choroby, zachować ostrożność."
762,Zapalenie gardła,Wymaga dalszej diagnostyki.
763,Choroba refluksowa,Zalecana konsultacja specjalistyczna.
764,Zapalenie ucha środkowego,Konieczność obserwacji w warunkach domowych.
765,Zawał serca,Wskazane badania kontrolne za 2 tygodnie.
766,Nadciśnienie,Leczenie szpitalne nie jest wymagane.
767,Alergia sezonowa,Wskazane badania kontrolne za 2 tygodnie.
768,Egzema,Zalecana konsultacja specjalistyczna.
769,Depresja,Zalecane leczenie farmakologiczne.
770,Egzema,Stosować leki zgodnie z zaleceniami.
771,Osteoporoza,Zalecana zmiana stylu życia i diety.
772,Astma,Leczenie szpitalne nie jest wymagane.
773,Zapalenie płuc,Leczenie szpitalne nie jest wymagane.
774,Depresja,Leczenie szpitalne nie jest wymagane.
775,Zapalenie pęcherza,Stosować leki zgodnie z zaleceniami.
776,Zapalenie pęcherza,Wymaga dalszej diagnostyki.
777,Zapalenie pęcherza,Zalecana zmiana stylu życia i diety.
778,Depresja,Zalecana konsultacja specjalistyczna.
779,Zapalenie wątroby typu A,"Przebieg łagodny, leczenie objawowe."
780,Zespół jelita drażliwego,Zalecane leczenie farmakologiczne.
781,Niedoczynność tarczycy,Konieczność obserwacji w warunkach domowych.
782,Zespół napięcia przedmiesiączkowego,Leczenie szpitalne nie jest wymagane.
783,Zapalenie spojówek,"Ryzyko nawrotu choroby, zachować ostrożność."
784,Nowotwór piersi,Stosować leki zgodnie z zaleceniami.
785,Reumatoidalne zapalenie stawów,Konieczność obserwacji w warunkach domowych.
786,Grypa,Wymaga dalszej diagnostyki.
787,Choroba wieńcowa,Leczenie szpitalne nie jest wymagane.
788,Zapalenie zatok,"Przebieg łagodny, leczenie objawowe."
789,Cukrzyca typu 2,Zalecane leczenie farmakologiczne.
790,Zapalenie spojówek,Zalecana konsultacja specjalistyczna.
791,Osteoporoza,"Ryzyko nawrotu choroby, zachować ostrożność."
792,Zapalenie pęcherza,"Przebieg łagodny, leczenie objawowe."
793,Niedoczynność tarczycy,Zalecana konsultacja specjalistyczna.
794,Zapalenie spojówek,Wskazane badania kontrolne za 2 tygodnie.
795,Egzema,"Przebieg łagodny, leczenie objawowe."
796,Zapalenie ucha środkowego,Wymaga dalszej diagnostyki.
797,Depresja,Konieczność obserwacji w warunkach domowych.
798,Reumatoidalne zapalenie stawów,Wskazane badania kontrolne za 2 tygodnie.
799,Zapalenie gardła,Zalecana zmiana stylu życia i diety.
800,Osteoporoza,"Przebieg łagodny, leczenie objawowe."
801,Zawał serca,Zalecana konsultacja specjalistyczna.
802,Zespół jelita drażliwego,Stosować leki zgodnie z zaleceniami.
803,Grypa,Wymaga dalszej diagnostyki.
804,Zapalenie zatok,Leczenie szpitalne nie jest wymagane.
805,Migrena,Zalecana zmiana stylu życia i diety.
806,Nowotwór płuc,"Przebieg łagodny, leczenie objawowe."
807,Zawał serca,Konieczność obserwacji w warunkach domowych.
808,Zapalenie gardła,Leczenie szpitalne nie jest wymagane.
809,Nowotwór piersi,Zalecana konsultacja specjalistyczna.
810,Cukrzyca typu 2,Stosować leki zgodnie z zaleceniami.
811,Zespół jelita drażliwego,Zalecane leczenie farmakologiczne.
812,Zespół napięcia przedmiesiączkowego,Konieczność obserwacji w warunkach domowych.
813,Zapalenie gardła,"Ryzyko nawrotu choroby, zachować ostrożność."
814,Zapalenie wątroby typu A,Zalecana zmiana stylu życia i diety.
815,Zapalenie pęcherza,"Ryzyko nawrotu choroby, zachować ostrożność."
816,Choroba refluksowa,"Przebieg łagodny, leczenie objawowe."
817,Migrena,Wymaga dalszej diagnostyki.
818,Zapalenie płuc,"Przebieg łagodny, leczenie objawowe."
819,Atopowe zapalenie skóry,Wskazane badania kontrolne za 2 tygodnie.
820,Zapalenie spojówek,Zalecane leczenie farmakologiczne.
821,Migrena,Konieczność obserwacji w warunkach domowych.
822,Zespół jelita drażliwego,Konieczność obserwacji w warunkach domowych.
823,Borelioza,Wskazane badania kontrolne za 2 tygodnie.
824,Choroba wieńcowa,Stosować leki zgodnie z zaleceniami.
825,Nadciśnienie,Zalecane leczenie farmakologiczne.
826,Migrena,"Ryzyko nawrotu choroby, zachować ostrożność."
827,Anemia,Zalecana zmiana stylu życia i diety.
828,Atopowe zapalenie skóry,"Przebieg łagodny, leczenie objawowe."
829,Zapalenie wątroby typu A,Konieczność obserwacji w warunkach domowych.
830,Migrena,"Ryzyko nawrotu choroby, zachować ostrożność."
831,Zespół napięcia przedmiesiączkowego,Zalecana zmiana stylu życia i diety.
832,Zespół napięcia przedmiesiączkowego,Zalecane leczenie farmakologiczne.
833,Migrena,Zalecana zmiana stylu życia i diety.
834,Migrena,Zalecana zmiana stylu życia i diety.
835,Migrena,Wymaga dalszej diagnostyki.
836,Anemia,Stosować leki zgodnie z zaleceniami.
837,Zapalenie spojówek,Wskazane badania kontrolne za 2 tygodnie.
838,Zapalenie oskrzeli,Stosować leki zgodnie z zaleceniami.
839,Zawał serca,"Ryzyko nawrotu choroby, zachować ostrożność."
840,Zapalenie oskrzeli,Wskazane badania kontrolne za 2 tygodnie.
841,Zapalenie wątroby typu A,Zalecane leczenie farmakologiczne.
842,COVID-19,Zalecana zmiana stylu życia i diety.
843,Alergia sezonowa,Zalecane leczenie farmakologiczne.
844,Borelioza,Wymaga dalszej diagnostyki.
845,Choroba refluksowa,Wskazane badania kontrolne za 2 tygodnie.
846,Angina,"Ryzyko nawrotu choroby, zachować ostrożność."
847,Choroba wieńcowa,Stosować leki zgodnie z zaleceniami.
848,Zapalenie ucha środkowego,Stosować leki zgodnie z zaleceniami.
849,Anemia,Konieczność obserwacji w warunkach domowych.
850,Zawał serca,Zalecane leczenie farmakologiczne.
851,Kamica nerkowa,"Ryzyko nawrotu choroby, zachować ostrożność."
852,Choroba wieńcowa,Zalecana konsultacja specjalistyczna.
853,COVID-19,Leczenie szpitalne nie jest wymagane.
854,Kamica nerkowa,Wskazane badania kontrolne za 2 tygodnie.
855,Zapalenie ucha środkowego,Zalecana konsultacja specjalistyczna.
856,Atopowe zapalenie skóry,Wymaga dalszej diagnostyki.
857,Borelioza,Stosować leki zgodnie z zaleceniami.
858,Depresja,Stosować leki zgodnie z zaleceniami.
859,Zapalenie zatok,Wymaga dalszej diagnostyki.
860,Nadciśnienie,Wskazane badania kontrolne za 2 tygodnie.
861,Kamica nerkowa,Zalecana zmiana stylu życia i diety.
862,Atopowe zapalenie skóry,Zalecana konsultacja specjalistyczna.
863,Zespół napięcia przedmiesiączkowego,"Przebieg łagodny, leczenie objawowe."
864,Choroba wieńcowa,"Ryzyko nawrotu choroby, zachować ostrożność."
865,Zapalenie ucha środkowego,Stosować leki zgodnie z zaleceniami.
866,Zawał serca,Stosować leki zgodnie z zaleceniami.
867,Zapalenie pęcherza,Zalecana konsultacja specjalistyczna.
868,Kamica nerkowa,Zalecane leczenie farmakologiczne.
869,Zapalenie gardła,"Przebieg łagodny, leczenie objawowe."
870,Zapalenie zatok,Leczenie szpitalne nie jest wymagane.
871,Choroba refluksowa,Leczenie szpitalne nie jest wymagane.
872,Alergia sezonowa,Wskazane badania kontrolne za 2 tygodnie.
873,Cukrzyca typu 2,"Przebieg łagodny, leczenie objawowe."
874,Nadciśnienie,Wymaga dalszej diagnostyki.
875,Niedoczynność tarczycy,Konieczność obserwacji w warunkach domowych.
876,Osteoporoza,Stosować leki zgodnie z zaleceniami.
877,Zapalenie ucha środkowego,Wskazane badania kontrolne za 2 tygodnie.
878,Reumatoidalne zapalenie stawów,Wskazane badania kontrolne za 2 tygodnie.
879,Migrena,Konieczność obserwacji w warunkach domowych.
880,Nadciśnienie,Stosować leki zgodnie z zaleceniami.
881,Depresja,"Ryzyko nawrotu choroby, zachować ostrożność."
882,Zapalenie oskrzeli,"Przebieg łagodny, leczenie objawowe."
883,Osteoporoza,Konieczność obserwacji w warunkach domowych.
884,Angina,"Ryzyko nawrotu choroby, zachować ostrożność."
885,Depresja,"Przebieg łagodny, leczenie objawowe."
886,Anemia,"Przebieg łagodny, leczenie objawowe."
887,Zawał serca,"Przebieg łagodny, leczenie objawowe."
888,Osteoporoza,Zalecane leczenie farmakologiczne.
889,Choroba refluksowa,"Przebieg łagodny, leczenie objawowe."
890,Angina,Zalecana zmiana stylu życia i diety.
891,Nowotwór płuc,"Ryzyko nawrotu choroby, zachować ostrożność."
892,Zapalenie spojówek,Leczenie szpitalne nie jest wymagane.
893,Egzema,Wskazane badania kontrolne za 2 tygodnie.
894,Alergia sezonowa,Leczenie szpitalne nie jest wymagane.
895,Niedoczynność tarczycy,Zalecana zmiana stylu życia i diety.
896,Zespół napięcia przedmiesiączkowego,Konieczność obserwacji w warunkach domowych.
897,Zapalenie płuc,Konieczność obserwacji w warunkach domowych.
898,Zapalenie wątroby typu A,Stosować leki zgodnie z zaleceniami.
899,Zapalenie płuc,"Przebieg łagodny, leczenie objawowe."
900,Kamica nerkowa,Leczenie szpitalne nie jest wymagane.
901,Zapalenie ucha środkowego,Wymaga dalszej diagnostyki.
902,Reumatoidalne zapalenie stawów,Stosować leki zgodnie z zaleceniami.
903,Anemia,Leczenie szpitalne nie jest wymagane.
904,Reumatoidalne zapalenie stawów,Wymaga dalszej diagnostyki.
905,Nowotwór płuc,Leczenie szpitalne nie jest wymagane.
906,Kamica nerkowa,Wymaga dalszej diagnostyki.
907,Depresja,Stosować leki zgodnie z zaleceniami.
908,Depresja,"Ryzyko nawrotu choroby, zachować ostrożność."
909,Zespół jelita drażliwego,Zalecana zmiana stylu życia i diety.
910,Astma,"Ryzyko nawrotu choroby, zachować ostrożność."
911,Zawał serca,"Ryzyko nawrotu choroby, zachować ostrożność."
912,Zapalenie wątroby typu A,Wymaga dalszej diagnostyki.
913,Zapalenie pęcherza,Zalecane leczenie farmakologiczne.
914,Zawał serca,Leczenie szpitalne nie jest wymagane.
915,Astma,Stosować leki zgodnie z zaleceniami.
916,Nowotwór płuc,Zalecana konsultacja specjalistyczna.
917,Cukrzyca typu 2,Stosować leki zgodnie z zaleceniami.
918,Cukrzyca typu 2,Konieczność obserwacji w warunkach domowych.
919,Choroba wieńcowa,Zalecane leczenie farmakologiczne.
920,Atopowe zapalenie skóry,Wskazane badania kontrolne za 2 tygodnie.
921,Reumatoidalne zapalenie stawów,Wskazane badania kontrolne za 2 tygodnie.
922,COVID-19,"Ryzyko nawrotu choroby, zachować ostrożność."
923,Zapalenie zatok,Leczenie szpitalne nie jest wymagane.
924,Zapalenie zatok,Stosować leki zgodnie z zaleceniami.
925,Depresja,Zalecana zmiana stylu życia i diety.
926,Zapalenie spojówek,Zalecana konsultacja specjalistyczna.
927,Kamica nerkowa,Zalecane leczenie farmakologiczne.
928,Astma,Stosować leki zgodnie z zaleceniami.
929,Zapalenie gardła,Wymaga dalszej diagnostyki.
930,Cukrzyca typu 2,Leczenie szpitalne nie jest wymagane.
931,Zapalenie spojówek,Zalecana konsultacja specjalistyczna.
932,Egzema,"Przebieg łagodny, leczenie objawowe."
933,Alergia sezonowa,Zalecana konsultacja specjalistyczna.
934,Angina,"Ryzyko nawrotu choroby, zachować ostrożność."
935,Zapalenie gardła,Stosować leki zgodnie z zaleceniami.
936,Nadciśnienie,Wymaga dalszej diagnostyki.
937,Niedoczynność tarczycy,Zalecana zmiana stylu życia i diety.
938,Zespół napięcia przedmiesiączkowego,Wskazane badania kontrolne za 2 tygodnie.
939,Zespół napięcia przedmiesiączkowego,"Ryzyko nawrotu choroby, zachować ostrożność."
940,Reumatoidalne zapalenie stawów,Stosować leki zgodnie z zaleceniami.
941,Alergia sezonowa,Wymaga dalszej diagnostyki.
942,Zapalenie zatok,Stosować leki zgodnie z zaleceniami.
943,Alergia sezonowa,Wskazane badania kontrolne za 2 tygodnie.
944,Choroba wieńcowa,"Ryzyko nawrotu choroby, zachować ostrożność."
945,Nadciśnienie,Zalecana konsultacja specjalistyczna.
946,Choroba wieńcowa,Wskazane badania kontrolne za 2 tygodnie.
947,Egzema,"Przebieg łagodny, leczenie objawowe."
948,Zapalenie ucha środkowego,Wymaga dalszej diagnostyki.
949,Borelioza,"Ryzyko nawrotu choroby, zachować ostrożność."
950,Migrena,Leczenie szpitalne nie jest wymagane.
951,Choroba wieńcowa,Zalecane leczenie farmakologiczne.
952,Astma,Leczenie szpitalne nie jest wymagane.
953,Astma,Stosować leki zgodnie z zaleceniami.
954,Migrena,Zalecana konsultacja specjalistyczna.
955,Grypa,Leczenie szpitalne nie jest wymagane.
956,Grypa,Zalecane leczenie farmakologiczne.
957,Kamica nerkowa,Wskazane badania kontrolne za 2 tygodnie.
958,Zapalenie zatok,Zalecane leczenie farmakologiczne.
959,Zapalenie płuc,Wymaga dalszej diagnostyki.
960,Alergia sezonowa,"Przebieg łagodny, leczenie objawowe."
961,Atopowe zapalenie skóry,Zalecana konsultacja specjalistyczna.
962,COVID-19,Stosować leki zgodnie z zaleceniami.
963,Migrena,Zalecana konsultacja specjalistyczna.
964,Zapalenie płuc,Zalecana zmiana stylu życia i diety.
965,Alergia sezonowa,"Ryzyko nawrotu choroby, zachować ostrożność."
966,Alergia sezonowa,Leczenie szpitalne nie jest wymagane.
967,Osteoporoza,"Ryzyko nawrotu choroby, zachować ostrożność."
968,Angina,Zalecana zmiana stylu życia i diety.
969,Zapalenie oskrzeli,Leczenie szpitalne nie jest wymagane.
970,Zapalenie gardła,Konieczność obserwacji w warunkach domowych.
971,Choroba refluksowa,Wymaga dalszej diagnostyki.
972,Zapalenie ucha środkowego,Zalecana konsultacja specjalistyczna.
973,Zapalenie pęcherza,Wymaga dalszej diagnostyki.
974,Atopowe zapalenie skóry,"Przebieg łagodny, leczenie objawowe."
975,Osteoporoza,Zalecana zmiana stylu życia i diety.
976,Borelioza,"Ryzyko nawrotu choroby, zachować ostrożność."
977,Zespół napięcia przedmiesiączkowego,"Ryzyko nawrotu choroby, zachować ostrożność."
978,Zapalenie gardła,Leczenie szpitalne nie jest wymagane.
979,Cukrzyca typu 2,Stosować leki zgodnie z zaleceniami.
980,Anemia,Stosować leki zgodnie z zaleceniami.
981,Osteoporoza,"Przebieg łagodny, leczenie objawowe."
982,Atopowe zapalenie skóry,"Przebieg łagodny, leczenie objawowe."
983,Niedoczynność tarczycy,Zalecane leczenie farmakologiczne.
984,Zapalenie ucha środkowego,Zalecane leczenie farmakologiczne.
985,Nowotwór płuc,Zalecana zmiana stylu życia i diety.
986,Migrena,Leczenie szpitalne nie jest wymagane.
987,Nadciśnienie,Stosować leki zgodnie z zaleceniami.
988,Niedoczynność tarczycy,Leczenie szpitalne nie jest wymagane.
989,Egzema,Konieczność obserwacji w warunkach domowych.
990,Kamica nerkowa,Zalecana konsultacja specjalistyczna.
991,Zawał serca,"Przebieg łagodny, leczenie objawowe."
992,Choroba refluksowa,Wskazane badania kontrolne za 2 tygodnie.
993,Niedoczynność tarczycy,Wskazane badania kontrolne za 2 tygodnie.
994,Zespół napięcia przedmiesiączkowego,Wymaga dalszej diagnostyki.
995,Atopowe zapalenie skóry,Zalecane leczenie farmakologiczne.
996,Atopowe zapalenie skóry,Wymaga dalszej diagnostyki.
997,Kamica nerkowa,Leczenie szpitalne nie jest wymagane.
998,Nowotwór płuc,Zalecana zmiana stylu życia i diety.
999,Zespół napięcia przedmiesiączkowego,Konieczność obserwacji w warunkach domowych.
1000,Atopowe zapalenie skóry,Konieczność obserwacji w warunkach domowych.
1001,Astma,Leczenie szpitalne nie jest wymagane.
1002,Zapalenie oskrzeli,"Przebieg łagodny, leczenie objawowe."
1003,Nadciśnienie,Konieczność obserwacji w warunkach domowych.
1004,Alergia sezonowa,Stosować leki zgodnie z zaleceniami.
1005,Astma,Leczenie szpitalne nie jest wymagane.
1006,Angina,Zalecane leczenie farmakologiczne.
1007,Zapalenie zatok,Wskazane badania kontrolne za 2 tygodnie.
1008,Egzema,Stosować leki zgodnie z zaleceniami.
1009,Astma,Wskazane badania kontrolne za 2 tygodnie.
1010,Alergia sezonowa,Leczenie szpitalne nie jest wymagane.
1011,Zapalenie płuc,Zalecane leczenie farmakologiczne.
1012,COVID-19,Wymaga dalszej diagnostyki.
1013,Nowotwór piersi,Zalecana konsultacja specjalistyczna.
1014,Depresja,Stosować leki zgodnie z zaleceniami.
1015,Cukrzyca typu 2,"Przebieg łagodny, leczenie objawowe."
1016,Atopowe zapalenie skóry,"Przebieg łagodny, leczenie objawowe."
1017,Grypa,Zalecane leczenie farmakologiczne.
1018,Zespół napięcia przedmiesiączkowego,"Przebieg łagodny, leczenie objawowe."
1019,Zapalenie gardła,Konieczność obserwacji w warunkach domowych.
1020,Grypa,"Przebieg łagodny, leczenie objawowe."
1021,Borelioza,Zalecana konsultacja specjalistyczna.
1022,Zespół napięcia przedmiesiączkowego,"Przebieg łagodny, leczenie objawowe."
1023,Zapalenie płuc,Wskazane badania kontrolne za 2 tygodnie.
1024,Zapalenie oskrzeli,Zalecana konsultacja specjalistyczna.
1025,Osteoporoza,Zalecana zmiana stylu życia i diety.
1026,Anemia,Zalecana zmiana stylu życia i diety.
1027,Choroba wieńcowa,Wskazane badania kontrolne za 2 tygodnie.
1028,Zapalenie zatok,"Przebieg łagodny, leczenie objawowe."
1029,Zespół jelita drażliwego,Wskazane badania kontrolne za 2 tygodnie.
1030,Grypa,Wskazane badania kontrolne za 2 tygodnie.
1031,Zapalenie spojówek,Wskazane badania kontrolne za 2 tygodnie.
1032,Zespół jelita drażliwego,"Przebieg łagodny, leczenie objawowe."
1033,Atopowe zapalenie skóry,Konieczność obserwacji w warunkach domowych.
1034,Grypa,Wskazane badania kontrolne za 2 tygodnie.
1035,Zapalenie oskrzeli,"Ryzyko nawrotu choroby, zachować ostrożność."
1036,Reumatoidalne zapalenie stawów,"Przebieg łagodny, leczenie objawowe."
1037,Cukrzyca typu 2,Wymaga dalszej diagnostyki.
1038,Zapalenie gardła,Zalecana konsultacja specjalistyczna.
1039,Atopowe zapalenie skóry,Wymaga dalszej diagnostyki.
1040,Alergia sezonowa,Leczenie szpitalne nie jest wymagane.
1041,Kamica nerkowa,Zalecana konsultacja specjalistyczna.
1042,Choroba wieńcowa,Wskazane badania kontrolne za 2 tygodnie.
1043,Choroba refluksowa,Leczenie szpitalne nie jest wymagane.
1044,Choroba refluksowa,Konieczność obserwacji w warunkach domowych.
1045,Choroba wieńcowa,Wymaga dalszej diagnostyki.
1046,Zapalenie gardła,Wskazane badania kontrolne za 2 tygodnie.
1047,Egzema,Wymaga dalszej diagnostyki.
1048,Atopowe zapalenie skóry,"Przebieg łagodny, leczenie objawowe."
1049,Reumatoidalne zapalenie stawów,Leczenie szpitalne nie jest wymagane.
1050,Zapalenie oskrzeli,"Ryzyko nawrotu choroby, zachować ostrożność."
1051,Nowotwór płuc,Wymaga dalszej diagnostyki.
1052,Zapalenie gardła,"Przebieg łagodny, leczenie objawowe."
1053,Zapalenie oskrzeli,Wskazane badania kontrolne za 2 tygodnie.
1054,Alergia sezonowa,Wymaga dalszej diagnostyki.
1055,Cukrzyca typu 2,"Przebieg łagodny, leczenie objawowe."
1056,Zapalenie wątroby typu A,Zalecana zmiana stylu życia i diety.
1057,Zapalenie płuc,"Ryzyko nawrotu choroby, zachować ostrożność."
1058,Osteoporoza,"Ryzyko nawrotu choroby, zachować ostrożność."
1059,Zapalenie oskrzeli,Leczenie szpitalne nie jest wymagane.
1060,Egzema,"Przebieg łagodny, leczenie objawowe."
1061,Kamica nerkowa,Zalecane leczenie farmakologiczne.
1062,Grypa,Zalecana konsultacja specjalistyczna.
1063,Borelioza,Konieczność obserwacji w warunkach domowych.
1064,Alergia sezonowa,Stosować leki zgodnie z zaleceniami.
1065,Nowotwór piersi,"Przebieg łagodny, leczenie objawowe."
1066,Astma,Wskazane badania kontrolne za 2 tygodnie.
1067,Zespół napięcia przedmiesiączkowego,Zalecana konsultacja specjalistyczna.
1068,Choroba refluksowa,Leczenie szpitalne nie jest wymagane.
1069,Cukrzyca typu 2,"Przebieg łagodny, leczenie objawowe."
1070,Alergia sezonowa,"Przebieg łagodny, leczenie objawowe."
1071,Borelioza,"Ryzyko nawrotu choroby, zachować ostrożność."
1072,Angina,"Ryzyko nawrotu choroby, zachować ostrożność."
1073,Cukrzyca typu 2,"Przebieg łagodny, leczenie objawowe."
1074,Choroba refluksowa,Leczenie szpitalne nie jest wymagane.
1075,Zapalenie pęcherza,Zalecana konsultacja specjalistyczna.
1076,Kamica nerkowa,Zalecane leczenie farmakologiczne.
1077,Zapalenie gardła,Wymaga dalszej diagnostyki.
1078,Zapalenie spojówek,Leczenie szpitalne nie jest wymagane.
1079,Angina,Zalecana zmiana stylu życia i diety.
1080,Zapalenie pęcherza,Stosować leki zgodnie z zaleceniami.
1081,Zapalenie płuc,Zalecane leczenie farmakologiczne.
1082,Osteoporoza,Wymaga dalszej diagnostyki.
1083,Depresja,Zalecane leczenie farmakologiczne.
1084,Zespół napięcia przedmiesiączkowego,Zalecane leczenie farmakologiczne.
1085,Astma,Wskazane badania kontrolne za 2 tygodnie.
1086,Zapalenie gardła,"Przebieg łagodny, leczenie objawowe."
1087,Zapalenie oskrzeli,Zalecana zmiana stylu życia i diety.
1088,Cukrzyca typu 2,Zalecane leczenie farmakologiczne.
1089,Nowotwór płuc,Zalecana zmiana stylu życia i diety.
1090,Zespół napięcia przedmiesiączkowego,Konieczność obserwacji w warunkach domowych.
1091,Zespół napięcia przedmiesiączkowego,"Ryzyko nawrotu choroby, zachować ostrożność."
1092,Anemia,"Ryzyko nawrotu choroby, zachować ostrożność."
1093,Choroba wieńcowa,Stosować leki zgodnie z zaleceniami.
1094,Nowotwór piersi,"Ryzyko nawrotu choroby, zachować ostrożność."
1095,Osteoporoza,"Ryzyko nawrotu choroby, zachować ostrożność."
1096,Zapalenie płuc,"Przebieg łagodny, leczenie objawowe."
1097,Osteoporoza,Konieczność obserwacji w warunkach domowych.
1098,Alergia sezonowa,Wskazane badania kontrolne za 2 tygodnie.
1099,Choroba wieńcowa,Zalecana konsultacja specjalistyczna.
1100,Zapalenie płuc,Zalecane leczenie farmakologiczne.
1101,Zapalenie wątroby typu A,Konieczność obserwacji w warunkach domowych.
1102,Osteoporoza,Zalecane leczenie farmakologiczne.
1103,Nowotwór piersi,Wskazane badania kontrolne za 2 tygodnie.
1104,Depresja,Wskazane badania kontrolne za 2 tygodnie.
1105,Reumatoidalne zapalenie stawów,Stosować leki zgodnie z zaleceniami.
1106,COVID-19,Wskazane badania kontrolne za 2 tygodnie.
1107,Zapalenie spojówek,Wskazane badania kontrolne za 2 tygodnie.
1108,Nowotwór piersi,"Ryzyko nawrotu choroby, zachować ostrożność."
1109,Zawał serca,Wskazane badania kontrolne za 2 tygodnie.
1110,Nowotwór piersi,Stosować leki zgodnie z zaleceniami.
1111,Borelioza,Stosować leki zgodnie z zaleceniami.
1112,Niedoczynność tarczycy,Zalecana konsultacja specjalistyczna.
1113,COVID-19,"Przebieg łagodny, leczenie objawowe."
1114,COVID-19,"Przebieg łagodny, leczenie objawowe."
1115,Egzema,Zalecana zmiana stylu życia i diety.
1116,Zapalenie płuc,"Ryzyko nawrotu choroby, zachować ostrożność."
1117,Zapalenie spojówek,Stosować leki zgodnie z zaleceniami.
1118,Zapalenie zatok,"Przebieg łagodny, leczenie objawowe."
1119,Niedoczynność tarczycy,Zalecana konsultacja specjalistyczna.
1120,Nowotwór płuc,Wymaga dalszej diagnostyki.
1121,Zawał serca,Konieczność obserwacji w warunkach domowych.
1122,Zapalenie spojówek,Zalecane leczenie farmakologiczne.
1123,Egzema,"Przebieg łagodny, leczenie objawowe."
1124,Borelioza,Leczenie szpitalne nie jest wymagane.
1125,Zapalenie pęcherza,Wskazane badania kontrolne za 2 tygodnie.
1126,Zapalenie wątroby typu A,Zalecana konsultacja specjalistyczna.
1127,Zawał serca,Zalecane leczenie farmakologiczne.
1128,COVID-19,Wskazane badania kontrolne za 2 tygodnie.
1129,Alergia sezonowa,Konieczność obserwacji w warunkach domowych.
1130,Osteoporoza,Wskazane badania kontrolne za 2 tygodnie.
1131,Egzema,Zalecana konsultacja specjalistyczna.
1132,Zapalenie spojówek,Stosować leki zgodnie z zaleceniami.
1133,Nowotwór piersi,"Przebieg łagodny, leczenie objawowe."
1134,Reumatoidalne zapalenie stawów,"Ryzyko nawrotu choroby, zachować ostrożność."
1135,Kamica nerkowa,Zalecana zmiana stylu życia i diety.
1136,Zapalenie oskrzeli,Wymaga dalszej diagnostyki.
1137,Cukrzyca typu 2,Wymaga dalszej diagnostyki.
1138,Angina,Zalecane leczenie farmakologiczne.
1139,Astma,Stosować leki zgodnie z zaleceniami.
1140,Nadciśnienie,Stosować leki zgodnie z zaleceniami.
1141,Zapalenie ucha środkowego,"Przebieg łagodny, leczenie objawowe."
1142,Osteoporoza,"Przebieg łagodny, leczenie objawowe."
1143,Zapalenie zatok,Wymaga dalszej diagnostyki.
1144,Zapalenie płuc,Zalecana zmiana stylu życia i diety.
1145,Kamica nerkowa,Zalecana zmiana stylu życia i diety.
1146,Zawał serca,"Ryzyko nawrotu choroby, zachować ostrożność."
1147,Borelioza,Zalecana konsultacja specjalistyczna.
1148,Choroba refluksowa,Konieczność obserwacji w warunkach domowych.
1149,Migrena,Leczenie szpitalne nie jest wymagane.
1150,Zapalenie pęcherza,Zalecana konsultacja specjalistyczna.
1151,Zapalenie pęcherza,Wskazane badania kontrolne za 2 tygodnie.
1152,Zapalenie gardła,Leczenie szpitalne nie jest wymagane.
1153,Zapalenie spojówek,Zalecana konsultacja specjalistyczna.
1154,Nowotwór płuc,Konieczność obserwacji w warunkach domowych.
1155,Anemia,Wymaga dalszej diagnostyki.
1156,Osteoporoza,"Ryzyko nawrotu choroby, zachować ostrożność."
1157,Migrena,Zalecane leczenie farmakologiczne.
1158,Reumatoidalne zapalenie stawów,Wskazane badania kontrolne za 2 tygodnie.
1159,Nowotwór płuc,Wskazane badania kontrolne za 2 tygodnie.
1160,Nowotwór płuc,Zalecana konsultacja specjalistyczna.
1161,Angina,Zalecana zmiana stylu życia i diety.
1162,Zapalenie płuc,"Ryzyko nawrotu choroby, zachować ostrożność."
1163,Alergia sezonowa,"Ryzyko nawrotu choroby, zachować ostrożność."
1164,Angina,"Ryzyko nawrotu choroby, zachować ostrożność."
1165,Zapalenie ucha środkowego,Stosować leki zgodnie z zaleceniami.
1166,Nadciśnienie,Stosować leki zgodnie z zaleceniami.
1167,Cukrzyca typu 2,Zalecana konsultacja specjalistyczna.
1168,Reumatoidalne zapalenie stawów,Zalecana zmiana stylu życia i diety.
1169,Zapalenie zatok,Wskazane badania kontrolne za 2 tygodnie.
1170,Osteoporoza,Wymaga dalszej diagnostyki.
1171,Egzema,Stosować leki zgodnie z zaleceniami.
1172,Choroba refluksowa,Wymaga dalszej diagnostyki.
1173,Zapalenie ucha środkowego,Zalecana zmiana stylu życia i diety.
1174,Atopowe zapalenie skóry,Zalecane leczenie farmakologiczne.
1175,Zapalenie spojówek,Zalecana konsultacja specjalistyczna.
1176,Zapalenie płuc,Konieczność obserwacji w warunkach domowych.
1177,Egzema,Leczenie szpitalne nie jest wymagane.
1178,Zespół jelita drażliwego,Leczenie szpitalne nie jest wymagane.
